tmdbId,keywords_list
1909,sex addiction|love|mental institution|patient|psychiatrist|don juan
8984,employee|workplace|sexual harassment|intrigue
4954,terrorist|transport of prisoners|airplane|parachuting|suspense
62488,heist|expectant father
10531,married couple|chile|pinochet-regime|revenge|doctor|torture|humiliation
11929,child abuse|detective|based on novel|bar|island|suspicion of murder|murder|suspense
8467,gas station|motel|utah|stupidity|pill|prank|cigar smoking|violence
10451,cooking|sense of life|daughter|dating|family
20156,secret|nightclub|pet shop|independent film|unhappiness
18395,female nudity|sexuality|island|love|mistress|kinky|smuggler|bdsm
522,individual|taxi|transsexuality|fortune teller|film business|film making|film producer|vororte
397,paris|airport|in love with enemy|canadian|necklace|fear of flying|deal|vineyard
10525,paris|dallas|basketball|crisis|falling in love|referee
27985,wilderness|boy and dog
15789,father son relationship|pop singer|musical|celebrity|road trip|dead mother|first love|goofy
27303,suspense
21183,father son relationship|based on novel|reincarnation|talking dog|car accident|dog|flashback|dog movie
10954,brother brother relationship|opera|eunuch|biography|dresden|opera singer
47867,country music
43475,
72031,
14275,chicago|sports team|ghetto|narration|college|sport|basketball|high school sports
1024,mother|sex|secret|obsession|literature|nudity|fantasy|passion
17207,
13701,deafness|sister-in-law|character study|uncle nephew relationship|für elise
14819,overweight|summer camp
32631,
11777,wedding vows|mathematician|car mechanic|comet|albert einstein|halley's comet
628,paris|san francisco|vampire|plantation|pity|bite|fang vamp
87729,france|revolution|biography|president|history
18713,new york|telephone joke|gangster
6280,baby|medicine|media|pregnancy|scientist|science|male pregnancy|fertility
9061,rape|black people|florida|professor|harvard university|innocence|revenge|suspense
37108,time travel|kids|medieval times
6071,hoodlum
11,android|galaxy|hermit|death star|lightsaber|jedi|rescue mission|empire
9587,depression|mother daughter relationship|pregnant|desire|chalkboard| nightgown|louisa may alcott|birth of twins
19101,based on novel|servant|private school|female friendship|boarding school|british|school|little girl
49980,love|children|family|social services
17961,
18183,chocolate|jealousy|sister sister relationship|cooking|mexican revolution|marriage|wedding|single mother
4476,brother brother relationship|montana|based on novel|world war i|journey round the world
11008,headquarter|military base|military service|base|major|military spoof|instructor
47504,russian mafia|dysfunctional family|brothers
32325,east los angeles|gang|los angeles|poverty|gang member|hispanic|mexican american|girl gang
43742,cruise|disabled|empire state building|accident|accident victim
28313,mother|child abuse|single parent|based on novel|smoking|baby|social work|drug addiction
11318,queen|kingdom|biography|victorian england|psychopathy
3036,human experimentation|frankenstein|remake
40490,
24070,holiday|rollerblades|cross dresser|woman director|suicide hotline|christmas
8986,prostitute|tree house|red-light disctrict|young people|stripper|make a match|mob boss
10510,holiday|competition|new love|santa claus|department store|miracle|wish|christmas
17402,
38722,immigrant|marriage|independent film|family relationships|los angeles|family|death of wife
8438,prison|prisoner|death row|alcatraz|lawyer|courtroom|murder trial|1940s
11593,illegal employment|retirement|drama
1945,loss of mother|loss of sister|twin sister|autism|lake|kaspar-hauser-syndrom|feral child|forest
39310,new jersey|police|brutality|troubled teen|hiphop|black youths
56428,suicide|detective|experiment|hallucination|scientist|drug|killer
131957,
241,sadistic|journalist|mass murder|yellow press|trauma|daughter|satire|controversy
9058,venice|italy|fortune teller|soulmates|cheating|trip
527,individual|slum|suicide|tattoo|alcohol|rape|tradition|loss of child
18220,sex|obsession|diary|murder|student|lust|art|woman director
6950,river|general|research|army|serum|monkey|epidemic|medical research
101,new york|corruption|assassin|police brutality|loss of family|s.w.a.t.|immigrant|hitman
63020,immigration|independent film|woman director|political prisoner|cuban refugees
2307,jealousy|burning house|teenage crush|arsonist
680,transporter|brothel|drug dealer|boxer|massage|stolen money|crime boss|dance contest
40156,gay|secret|faith|independent film|conservative|girl|church|united kingdom
11450,television|tv show|manipulation|manipulation of the media|product placement|investigation|tv ratings|quiz show
30304,hawaii|arranged marriage|cultural difference|orphan|older man younger woman relationship|black and white scene|asian american
10452,marriage of convenience|konfession|royalty|slaughter
12106,gunslinger|revenge|prairie|shootout|pistol
161495,grandfather grandson relationship|roommate|birthday|funeral|vegetarian|orphan|deathbed
3586,paris|hotel room|suspicion of murder|mannequin|fashion photographer|sandwich|poodle|reporter
110,judge|isolation|mannequin|shadowing|english channel|geneva|travel|dog
108,paris|composer|pain|loss of husband|to compose
109,hairdresser|sexual frustration|funeral|business man|poland
159185,
28033,
22586,princess|swan
14334,family relationships|ireland|seal|selkie
2636,explosive|revenge|explosives expert
2164,space travel|teleportation|uprising|shot to death|androgyny|space western|outer space|timebomb
11395,holiday|christmas party|santa claus|deal|christmas tree|christmas
278,prison|corruption|police brutality|prison cell|delinquent|parole board|escape from prison|wrongful imprisonment
9905,roommate|distrust|overdose|grave|suspense|dark comedy|shallow grave
87078,amnesia|betrayal|black and white|twins|evil twin|film theory|identity swapping
12527,gay|cuba|artist|male friendship|havanna|homosexuality|social commentary|student
20306,independent film
36614,gay|father son relationship|sydney|australia|based on play or musical|independent film|breaking the fourth wall|gay son
27993,
31439,gambling|china|child abuse|communist|epic
9067,destroy|dystopia|reincarnation|desert|artial arts|woman director
9059,prostitute|key|jesus christ|chosen one|god|good vs evil|blood|demon
193,based on tv series|death|exploding planet|mountain cabin|solar system
25066,prison|child abuse|ku klux klan|police brutality|ghetto|anthology|evil doll|murder
46797,
12122,alien life-form|village|bewusstlosigkeit|alien|pregnancy|doppelganger
11381,
32636,independent film|chekhov
36141,noir|independent film|city
95963,vietnam|jungle|black american
1587,brother brother relationship|mentally disabled|iowa|widow|dysfunctional family|independent film
9271,artificial intelligence|android|hologram|computer program|virtual reality|ex-cop|visual effect|police training
2064,brother brother relationship|chicago|coma|subway|love of one's life|brother|man of one's dreams|hospital
19855,vietnam veteran|bullying|child
60855,culture clash|immigrant|daughter|interracial romance|mother daughter relationship|dating|father daughter relationship|family
236,individual|becoming an adult|dream|return|love of one's life|overweight|province|bathing
48287,friends|camp|summer|club|woman director|summer school
3049,dolphin|mascot|private detective|pets
2759,gay|drag queen|homophobia|musical|van|australia|transgender|australian aborigine
12635,red-light disctrict|stuart sutcliffe|boyfriend girlfriend|river elbe|hofner bass guitar|body painting|hamburg germany|photo
10497,eroticism|wheelchair|married couple|cruise|longing|marriage crisis|paralysis|sadomasochism
11382,lover (female)|talent|mafia boss|author
9331,assassination|spy|ambush|cia|helicopter|based on novel|usa president|sniper
10731,suicide|brother brother relationship|witness protection|principal witness |brother|investigation|search for witnesses|lawyer
10464,loss of mother|daughter|friendship|mute|housekeeper|xenophobia|woman director
34152,black people|1970s|jazz musician|straßenkids|dysfunctional family|independent film|teacher|urban
9495,halloween|arson|detroit
29973,baseball|sport|historical figure
888,manager|jealousy|bad mother-in-law|adoption|family's daily life|stone age|plan|friendship
13,vietnam veteran|hippie|mentally disabled|running|based on novel|vietnam|vietnam war|friendship
712,upper class|love at first sight|wedding vows|marriage proposal|yuppie|love of one's life|lone wolf|snob
16295,racism|violence|date rape|athletic scholarship|black militant|resentment|school shooting
10879,newspaper|adversary|reporter|experience
10660,waitress|cop|lottery ticket|winning lottery
10714,indian lead|tiger|feral child|british|panther|bear|jungle|falling in love
41647,nazis|propaganda|artists' life|nazi germany|filmmaker
8587,loss of parents|wild boar|uncle|shaman|redemption|king|scar|hyena
1689,buddhist|tibet|reincarnation|buddha|siddhartha|independent film
11596,fire|kidnapping|nightmare|earthquake|insomnia|supernatural|celebrity|mascot
854,dual identity|bank|mockery|green|balloon|jail cell|norse mythology
9359,poker|mississippi|saloon|ship|native american|on the run|based on tv series|steamboat
23333,new york|alcohol|prohibition|biography|romance|independent film|theater|flashback
36593,undercover|spoof|state prison
12280,new york|research|success|tageszeitung|murder
2788,roommate|yuppie|generations confilct|camcorder|cohabitant|cabriolet|fictional tv show|unemployed
10427,sheriff|wyoming|hitman|bag of money|neo-noir
11011,family|life raft|private airplane|toothbrush|gluttony|magnifying glass|rubber boat
49803,mother|pain|marriage|independent film|worrying
8987,river|robber|boston|bank robber|marriage crisis|hostage-taking|rafting|criminal
1637,bomb|airport|bus|bus ride|highway|bomb planting
15128,politics|love|speech writer
8831,martial arts|time travel|science fiction|alternative reality
36955,spy|terrorist|florida|gun|kidnapping|horseback riding|florida keys|secret agent
10449,wife husband relationship|new love|family|alcoholic|therapy
10395,adultery|heal|bite|werewolf
12160,gunslinger|gambling|sheriff|deputy sheriff|wretch|wyatt earp|historical figure|doc holliday
40480,cia|judge|blackmail
26352,fbi|drug crime|violence|drug|private detective|blast
39953,
41580,
315,killing|sports car|go-go dancer|eroticism|kidnapping|independent film|b movie|exploitation film
22067,family relationships|fear|relationship|gospel singer
18242,stop motion
11667,dictator|martial arts|hostage|liberation of hostage|hostage-taking|street fighter|united nations|based on video game
226229,
8011,japan|new york|scotland|morocco|good and bad
2654,small town|paranoia|new hampshire|insanity|suspense|h.p. lovecraft|diner|author
18069,rodeo|independent film|cowboy|bull riding
19092,sport
2758,jealousy|baby|brother sister relationship|butler|yuppie|nanny|summer camp|guillotine
10436,upper class|new york|lover|countess|lawyer|19th century
13595,radio station|heavy metal|rock band
46094,sport
9409,staatsanwältin|cops|gangster|stakeout|police stakeout
11853,female nudity|revenge|wild west|blonde woman|fast draw|tough  girl|gun fu|pistol duel
16771,barcelona spain|navy|independent film
46924,success|medieval times|struggle
11041,arkansas|oil|based on tv series|billionaire|hillbilly|beverly hills|woman director
306,detective|undercover|security camera|carousel |investigation|weapon|sequel|rescue
14522,horse|country life|woman director
26203,killer|blindness
178,terrorist|boston|fireworks|orchestra|anarchist|concert|computer|revenge
19819,sport|basketball|drama
57834,mental disease|nuclear missile|history|nymphomaniac|dysfunctional marriage|independent film
4722,distrust|military base|remake|alien|escape|soldier|alien invasion|alien infection
18215,obsession|dream|kidnapping|nudity|suspense|unrequited love|doctor|car accident
1607,gambling|father son relationship|black people|italo-american|italian|loyalty|gangster boss|funeral
26391,
6075,prison|1970s|puerto rican|release from prison|criminal past|love|night club|violence
11310,nevada|gold|birthday|treasure hunt|gold bar|friendship bracelet|cowboy
18658,
9350,mountain|rocky mountains|airplane|hijacking|suitcase|climbing|heist|money
9612,extraterrestrial technology|alien life-form|space invasion
2124,suicide|california|sex|secret identity|eroticism|paranoia|nudity|group therapy
26261,winging into a wall|infra red|photo album epilogue|jumper cable|rude waiter|sitcom
19176,cowboy
49299,independent film|drug|divorce|filmmaking|psychological drama
11566,coma|white house|usa president|apoplectic stroke|doppelganger
9571,1970s|texas|high school|comedy|coming of age|summer|teenager|period drama
9739,helicopter|martial arts|crime fighter|social control|museum|future|cryogenics|utopia
24257,
34444,transvestism|lesbian|cowgirl|hitchhiking|lbgt
26141,spoof|private detective
10997,gay|china|society|woman between two men|independent film|best friend|beijing
50463,
10443,grief|disaster|guilt|mental health
20239,hip-hop|musician|mockumentary|spoof
16297,homeless person|law school|bum|harvard law school|college student
18551,gambling|sex|robbery|texas|nudity|roadhouse|liquor|funeral
25440,
9024,hotel|lover (female)|concierge|deception|mistress
37233,fbi|law|tennessee|lawyer|law firm|bar exam
1634,social work|social worker|human animal relationship|whale|freedom|best friend|amusement park|aftercreditsstinger
13815,war on drugs|drug traffic|drug dealer|drug mule|childhood trauma|drug scene|death of a child|revenge
5503,chicago|showdown|undercover|surgeon|death sentence|doomed man|lethal injection|chase
35588,apache|historical figure|native american|historical|cavalry|geronimo
2087,suicide by hanging|sexual torture|exploding truck|cuckold|garbage dump
41579,
18620,lesbian relationship|homosexuality|independent film|woman director
4916,
2019,new orleans|mercenary|hunting human beings|money|drifter|union|sailor|human prey
31642,vietnam|vietnam war|biography|dog|immigrant experience
9255,swordplay|secret agent|liberation of hostage|saddam hussein|parody|iraq war
26271,sleepover|independent film|best friend
10612,wales|world war i|village|cartographer
2259,central and south america|farm worker|farm|coup d'etat|santiago|paranormal phenomena|domestic violence|estate
16097,
11934,suicide|new york|corruption|journalist|inventor|undercover|toy|plan
106143,father daughter relationship|actor|unsuccessful
12475,education|u.s. army|friendship|war|unemployment
9386,cia|assassin|running|white house|usa president|bodyguard|stalking|election
7984,bomb|prison|father son relationship|based on novel|1970s|biography|faith|irish
59930,
15765,price of fame|tina turner|black woman|cameo appearance by real life subject|african american music|black family
6,chicago|drug dealer|boxing match|escape|one night
329,exotic island|dna|paleontology|tyrannosaurus rex|triceratops|brontosaurus|electric fence|island
10909,california|journalist|journalism|photographer|highway|serial killer|hitchhike
507,paris|prostitute|robbery|drug abuse|aids|bank|jazz|hostage
34024,marbles|elevator operator|bellboy|lock child|living alone|st. louis|against the odds| epileptic seizure
29918,lassie
9593,magic|movie in movie|spoof|magical object|cartoon cat|ticket|self-referential|projectionist
42580,
22317,lightning|jack
1413,china|opera singer
12121,car dealer|anonymity|high school|sperm donor
2246,married couple|insurance fraud|boarder|suspense|child wish
10502,secret|suspicion|face transplant|friendship|boarding school|love
10440,"investigation|dark comedy|independent film|neighbor|reference to william shakespeare|man with glasses|woman with glasses|manhattan, new york city"
9516,black people|drug dealer|ghetto|weapon|delinquency|los angeles
2320,bomb|ransom|hostage|airplane|hijacking|terror cell|special unit|deception
5879,japan|jealousy|brothel|nudity|passion|longing|geisha|deceived wife
83718,date|conversation|secretary|dinner date
11971,shakespeare|bachelor|new love|rage and hate|lover|wedding|intrigue
2625,depression|therapist|symphony|piano|psychiatrist patient relationship|bipolar disorder
31911,professor|friendship|unfaithfulness|bowling alley|alimony
788,san francisco|parent child relationship|restaurant|nanny|mask|custody battle|fake identity
21450,reference to the book of revelation
11231,martial arts|becoming an adult|karate|revenge|classmate
10447,prison|island|chase|dystopia|prison guard|escape|jungle|near future
31586,parent child relationship|child prodigy|travel|young boy|based on children's book|kids
9300,london england|queen|queen elizabeth i|androgyny|breaking the fourth wall|nobility|woman director|gender bender
9559,hostage|escape from prison|escaped convict|child kidnapping|criminologist|1960s
9800,gay|aids|homophobia|jurors|court|partner|hiv|lawyer
713,love triangle|scotland|mother|adultery|sexuality|jealousy|culture clash|isolation
8291,loss of lover|sadness|los angeles|road movie
18133,american football|sport
25557,
22588,radio station|radio|writer|director
10872,holiday|robbery|burglar|christmas party|hostage|blackmail|santa claus|bad mother-in-law
1245,newspaper|butler|country house|loyalty|flower|nazis|jewish|britain
11858,vietnam veteran|commercial|advertising expert|kaserne|stau|soldier|unemployment|woman director
7007,japan|usa|corruption|detective|journalist|based on novel|japanese|restaurant
10467,competition|sanatorium|musical|historical figure|cornflakes
5550,cyborg|dystopia|police|sequel|cyberpunk|policeman|robocop
8005,witch|tree house|robin hood|forest|taxes|thief|parody|arrow
2088,police operation|sex addiction|police|mafia boss|suspense|bad cop|hitwoman
10412,skinhead|resistance|immigrant|nazis|right wing radicalism|violence|white supremacists
47889,independent film
14534,american football|biography|sport|family relationships|aspiration
41878,
424,factory|concentration camp|hero|holocaust|world war ii|nazis|defense industry|biography
35233,baseball|pitcher|sport|father figure|mentally ill
14291,chess|hustler|child prodigy|new york city
11236,based on novel|servant|secret|garden|uncle|yorkshire|independent film|little girl
11592,housewife|protection|motherly love|evil mother|murder|independent film|perfection
8850,new york|atomic bomb|ladykiller|hypnosis|superhero|based on comic|radio series|invisibility
10445,bachelor|stroke of fate|brother|oxford|author|falling in love
695,suicide|loss of son|helicopter|cheating|fishing|daily life|jazz musician|modern society
43535,
12519,female nudity|pastor|married couple|seduction|painting|drawing and painting|blasphemy
23210,con man|new york city|art|art dealer
858,father son relationship|lovesickness|journalist|loss of mother|loss of lover|radio station|christmas party|love of one's life
867,new york|sex|based on novel|eroticism|hidden camera|video surveillance|psychopath|murder
78,artificial intelligence|bounty hunter|dystopia|genetics|fugitive|cyberpunk|los angeles|tech noir
13203,college|thanksgiving|farm|liar|pancreas|thong|city boy
10442,scotland|butcher|sister|murder|axe murder
11074,philadelphia|boat|observer|serial killer|homicide detective
9607,saving the world|brother brother relationship|royalty|dinosaur|based on video game|woman director|multiple dimensions
17585,hunting human beings
9057,ladykiller|kgb|parachuting|sprung
20967,
10635,crush|pillow fight|catcher in the rye|odd couple|water balloon|pregnancy scare|water gun
9479,holiday|fire|santa claus|magic|halloween|skeleton|musical|christmas tree
10057,paris|musketeer
11969,retirement|wyatt earp|right and justice|historical figure
41590,organized crime|mob boss
319,father son relationship|film producer|mexican standoff|loss of father|cocaine|love|mafia|los angeles
26408,politics|election campaign|woman director|cinéma vérité
15139,library|adventure|part animated
161158,cheating wife|masturbation|cuckold|canuxploitation
85247,hitman|aftercreditsstinger|neo-noir|willing to be murdered
11446,parent child relationship|sister sister relationship|mockery|ugliness|independent film|little girl|school life
51980,industrial revolution
24405,prison|sex|handcuffs|waitress|fight|fireworks|nudity|volcano
11655,industrialist|scarab|invention|immortality|aging|tycoon|antique dealer
8223,suicide|photographer|marriage proposal|funeral|cosmetologist
14587,indian lead|independent film|woman director
31504,baseball|sport
53185,
23637,woman director
17600,adultery|nudity|independent film|student|incest|injury|neighborhood|recuperation
10897,running|shenanigan|friendship|clubhaus|group of friends|woman director
21352,
37345,
32562,gay|cinema|media|lesbian|hollywood|lgbt|lgbt history
47507,pregnancy
9066,supermarket|house|woman director
771,holiday|burglar|home invasion|mischief|booby trap|home alone|suburban chicago|mischievous child
251,corruption|fortune teller|money transfer|money laundering|pottery|afterlife|spiritism
812,magic|musical|cartoon|princess|love|comedy|animation|monkey
280,cyborg|shotgun|post-apocalyptic|dystopia|moral ambiguity|mental institution|violence|fictional war
581,skab under tv|Øverste hylde|foran
268,double life|dc comics|dual identity|chemical|crime fighter|fictional place|gotham city|superhero
274,based on novel|psychopath|horror|suspense|serial killer|psychological thriller|cannibal|fbi agent
408,poison|witch|becoming an adult|sadness|queen|attempted murder|dying and death|appearance
10020,prince|book|castle|rose|musical|princess|animation|based on tv series
10895,italy|lie|magic|fairy|pinocchio|carnival|wish|boy
114,prostitute|capitalism|cinderella|expensive restaurant|sports car|workaholic|fire escape|friendship
