tmdbId,director,top_cast
862,John Lasseter,Tom Hanks|Tim Allen|Don Rickles
37557,Zhang Yimou,Gong Li|Li Bao-Tian|Wang Xiaoxiao
9909,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance
63,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt
9598,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann
47018,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington
687,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky
139405,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman
33689,Andy Tennant,Kirstie Alley|Steve Guttenberg|Ashley Olsen
9603,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy
34615,Darrell James Roodt,James Earl Jones|Charles S. Dutton|Jack Robinson
31174,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent
11443,Albert Hughes,Larenz Tate|Keith David|Chris Tucker
35196,Michael Hoffman,Robert Downey Jr.|Meg Ryan|Sam Neill
9312,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby
577,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix
11861,Jocelyn Moorhouse,Winona Ryder|Anne Bancroft|Ellen Burstyn
807,David Fincher,Brad Pitt|Morgan Freeman|Gwyneth Paltrow
10530,Mike Gabriel,Irene Bedard|Mel Gibson|David Ogden Stiers
8391,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny
629,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri
11448,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter
49133,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani
26441,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders
97406,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine
9089,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft
11010,Michael Radford,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta
99040,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette
11359,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse
17182,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris
2054,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas
10607,Paris Barclay,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones
19760,Bill Bennett,Sandra Bullock|Denis Leary|Yaphet Kotto
9536,Jason Bloom,Pauly Shore|Stephen Baldwin|Joey Lauren Adams
11525,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien
4482,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat
10634,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long
755,Robert Rodriguez,George Clooney|Quentin Tarantino|Harvey Keitel
11859,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff
28387,Noah Baumbach,Josh Hamilton|Olivia d'Abo|Carlos Jacott
48750,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines
20927,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon
9102,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin
124626,Susanne Ofteringer,Nico|Tina Aumont|Jackson Browne
27526,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston
9623,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt
46785,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
400,Gary Fleder,Andy García|Christopher Lloyd|William Forsythe
880,Marleen Gorris,Willeke van Ammelrooy|Els Dottermans|Dora van der Groen
146599,Tim Reid,"Al Freeman, Jr.|Phylicia Rashād|Paula Kelly"
188588,Henry Jaglom,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz
8447,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
10534,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage
17414,Ken Kwapis,Jason Alexander|Faye Dunaway|Eric Lloyd
13997,Penelope Spheeris,Chris Farley|David Spade|Grant Heslov
2086,John Badham,Johnny Depp|Courtney Chase|Charles S. Dutton
9095,Stephen Frears,Julia Roberts|John Malkovich|George Cole
12158,Wes Craven,Eddie Murphy|Angela Bassett|Allen Payne
9283,Ted Demme,Matt Dillon|Noah Emmerich|Annabeth Gish
9208,John Woo,John Travolta|Christian Slater|Samantha Mathis
40154,Kenneth Branagh,Richard Briers|Joan Collins|Michael Maloney
406,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui
45549,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee
63076,Nick Broomfield,Nick Broomfield|Heidi Fleiss|Madam Alex
11062,Harold Becker,Al Pacino|John Cusack|Bridget Fonda
13685,Wes Anderson,Luke Wilson|Owen Wilson|Lumi Cavazos
47475,Nick Castle,Ellen DeGeneres|Bill Pullman|Joan Cusack
2045,John Dahl,Ray Liotta|Linda Fiorentino|Peter Coyote
9614,Dennis Dugan,Adam Sandler|Ben Stiller|Christopher McDonald
688,Clint Eastwood,Meryl Streep|Clint Eastwood|Annie Corley
10874,Brian Henson,Tim Curry|Kevin Bishop|Jennifer Saunders
89333,Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani
197,Mel Gibson,Mel Gibson|Catherine McCormack|Sophie Marceau
103,Martin Scorsese,Robert De Niro|Cybill Shepherd|Harvey Keitel
33542,Stanley Tong,Jackie Chan|Anita Mui|Françoise Yip
43566,Barbet Schroeder,Meryl Streep|Liam Neeson|Edward Furlong
71754,Mort Ransen,Helena Bonham Carter|Clive Russell|Craig Olejnik
51352,Jon Blair,Kenneth Branagh|Glenn Close
16934,Benjamin Ross,Tobias Arnold|Ruth Sheen|Roger Lloyd Pack
10324,Eric Schaeffer,Sarah Jessica Parker|Elle Macpherson|Scarlett Johansson
78406,Andrew Davis,Andy García|Alan Arkin|Rachel Ticotin
32119,John N. Smith,Henry Czerny|Johnny Morina|Brian Dooley
11066,Reginald Hudlin,Eddie Murphy|Robin Givens|Halle Berry
11104,Wong Kar-wai,Brigitte Lin|Tony Leung Chiu-Wai|Faye Wong
37975,Giuseppe Tornatore,Sergio Castellitto|Tiziana Lodato|Franco Scaldati
2074,David O. Russell,Ben Stiller|Patricia Arquette|Téa Leoni
27793,Peter MacDonald,Jason James Richter|Melody Kay|Kevin McNulty
110972,Bryan Gordon,Josh Charles|Anne Heche|John Goodman
32622,Rebecca Miller,Miranda Rhyne|Charlotte Eve Blythe|Anna Levine
73067,Michael Lindsay-Hogg,Matt Dillon|Corban Walker|Gabriel Byrne
11863,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri
9101,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider
5757,Dirk Shafer,Dirk Shafer|Mary Stein|Claudette Sutherland
9302,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing
11000,Mike Nichols,Robin Williams|Gene Hackman|Nathan Lane
16388,Edward Burns,Shari Albert|Maxine Bahns|Catharine Bolz
9737,Michael Bay,Will Smith|Martin Lawrence|Téa Leoni
30765,Christopher Cain,Stephen Lang|Ryan Slater|Yi Ding
10474,Scott Kalvert,Leonardo DiCaprio|Lorraine Bracco|James Madio
22279,Mike Newell,Alan Rickman|Hugh Grant|Georgina Cates
30157,Hal Hartley,Isabelle Huppert|Martin Donovan|Elina Löwensohn
568,Ron Howard,Tom Hanks|Bill Paxton|Kevin Bacon
11780,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt
34996,Abel Ferrara,Lili Taylor|Christopher Walken|Annabella Sciorra
414,Joel Schumacher,Val Kilmer|Tommy Lee Jones|Jim Carrey
649,Luis Buñuel,Catherine Deneuve|Michel Piccoli|Jean Sorel
1873,John Boorman,Patricia Arquette|Frances McDormand|U Aung Ko
5894,Paul Auster,Harvey Keitel|Lou Reed|Michael J. Fox
1775,Michael Moore,John Candy|Alan Alda|Rhea Perlman
8839,Brad Silberling,Christina Ricci|Bill Pullman|Cathy Moriarty
20649,Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo
10329,Frank Marshall,Laura Linney|Dylan Walsh|Ernie Hudson
8963,Tony Scott,Denzel Washington|Gene Hackman|Matt Craven
26564,Terry Zwigoff,Robert Crumb|Aline Kominsky|Charles Crumb
8068,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida
8512,Carl Franklin,Denzel Washington|Tom Sizemore|Jennifer Beals
1572,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson
13552,Gregg Araki,Rose McGowan|James Duval|Johnathon Schaech
259209,Christopher Menaul,Embeth Davidtz|Tom Bell|Gemma Jones
6520,Jerry Zucker,Sean Connery|Richard Gere|Julia Ormond
9073,Dwight H. Little,Jason James Richter|Michael Madsen|Jayne Atkinson
10428,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford
17447,Christopher Ashley,Steven Weber|Patrick Stewart|Michael T. Weiss
9886,Robert Longo,Keanu Reeves|Dina Meyer|Takeshi Kitano
9482,Danny Cannon,Sylvester Stallone|Diane Lane|Armand Assante
19326,John Fortenberry,Pauly Shore|Tia Carrere|Stanley Tucci
9344,Larry Clark,Leo Fitzpatrick|Rosario Dawson|Chloë Sevigny
9071,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney
8973,Clive Barker,Scott Bakula|Kevin J. O'Connor|Famke Janssen
15730,Denys Arcand,Thomas Gibson|Ruth Marshall|Cameron Bancroft
47608,Antonia Bird,Chris O'Donnell|Drew Barrymore|Matthew Lillard
2293,Kevin Smith,Jason Lee|Jeremy London|Shannen Doherty
9070,Bryan Spicer,Amy Jo Johnson|Jason David Frank|David Yost
48787,Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards
34574,Michael Almereyda,Elina Löwensohn|Peter Fonda|David Lynch
1642,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller
11472,Chris Columbus,Hugh Grant|Julianne Moore|Tom Arnold
36196,Daisy von Scherler Mayer,Parker Posey|Liev Schreiber|Anthony DeSando
11980,Gregory Widen,Christopher Walken|Elias Koteas|Virginia Madsen
58372,Norman René,Mia Farrow|Tony Goldwyn|Scott Glenn
32646,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris
10533,Roland Joffé,Demi Moore|Gary Oldman|Robert Duvall
10802,Paul Verhoeven,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon
10149,Wayne Wang,Harvey Keitel|William Hurt|Giancarlo Esposito
18402,Lasse Hallström,Julia Roberts|Dennis Quaid|Robert Duvall
9348,Roger Donaldson,Natasha Henstridge|Ben Kingsley|Michael Madsen
281,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Tom Sizemore
5967,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon
79593,Wesley Strick,Daryl Hannah|Keith Carradine|Moira Kelly
47939,Martha Coolidge,Patrick Swayze|Mary Elizabeth Mastrantonio|Joseph Mazzello
36834,Agnieszka Holland,Leonardo DiCaprio|David Thewlis|Romane Bohringer
9090,Beeban Kidron,Patrick Swayze|Wesley Snipes|John Leguizamo
3512,Geoff Murphy,Steven Seagal|Eric Bogosian|Everett McGill
52856,Diane Keaton,Andie MacDowell|John Turturro|Michael Richards
77350,Douglas Keeve,Sandra Bernhard|Isaac Mizrahi|Naomi Campbell
9560,Alfonso Aráu,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn
9804,Kevin Reynolds,Kevin Costner|Chaim Girafi|Rick Aviles
31611,Desmond Nakano,John Travolta|Harry Belafonte|Kelly Lynch
49805,Mike Figgis,Albert Finney|Greta Scacchi|Matthew Modine
50797,Nikita Mikhalkov,Nikita Mikhalkov|Oleg Menshikov|Ingeborga Dapkunaite
19155,Milčo Mančevski,Katrin Cartlidge|Rade Serbedzija|Grégoire Colin
76,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert
11017,Tamra Davis,Adam Sandler|Darren McGavin|Bridgette Wilson
37141,Guy Ferland,Alicia Silverstone|Jeremy London|J.T. Walsh
9382,Herbert Ross,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore
6715,Peter Horton,Brad Renfro|Joseph Mazzello|Annabella Sciorra
18256,Stuart Gordon,Jeffrey Combs|Barbara Crampton|Jonathan Fuller
22625,Pat O'Connor,Chris O'Donnell|Minnie Driver|Geraldine O'Rawe
2292,Kevin Smith,Brian O'Halloran|Jeff Anderson|Jason Mewes
1909,Jeremy Leven,Johnny Depp|Marlon Brando|Faye Dunaway
8984,Barry Levinson,Michael Douglas|Demi Moore|Donald Sutherland
4954,John Badham,Wesley Snipes|Gary Busey|Yancy Butler
62488,Jack Baran,Dylan McDermott|Nancy Travis|James Le Gros
10531,Roman Polanski,Sigourney Weaver|Ben Kingsley|Stuart Wilson
11929,Taylor Hackford,Kathy Bates|Jennifer Jason Leigh|Judy Parfitt
8467,Peter Farrelly,Jim Carrey|Jeff Daniels|Lauren Holly
10451,Ang Lee,Sihung Lung|Yu-Wen Wang|Jacklyn Wu 
20156,Atom Egoyan,Bruce Greenwood|Mia Kirshner|Elias Koteas
18395,Garry Marshall,Dana Delany|Paul Mercurio|Rosie O'Donnell
522,Tim Burton,Johnny Depp|Martin Landau|Sarah Jessica Parker
397,Lawrence Kasdan,Meg Ryan|Kevin Kline|Timothy Hutton
10525,Billy Crystal,Billy Crystal|Debra Winger|Joe Mantegna
27985,Phillip Borsos,Mimi Rogers|Jesse Bradford|Bruce Davison
15789,Kevin Lima,Bill Farmer|Jason Marsden|Rob Paulsen
27303,Brett Leonard,Jeff Goldblum|Christine Lahti|Alicia Silverstone
21183,Carlo Carlei,Samuel L. Jackson|Matthew Modine|Nancy Travis
10954,Gérard Corbiau,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein
47867,Mark Lewis,Ted Manson|Afemo Omilami
43475,Art Clokey,
72031,Charles Burnett,Ice Cube|Lori Petty|Erich Anderson
14275,Steve James,William Gates|Arthur Agee|Steve James
1024,Peter Jackson,Melanie Lynskey|Kate Winslet|Sarah Peirse
17207,Randall Miller,Sinbad|Phil Hartman|Jeffrey Jones
13701,Bernard Rose,Gary Oldman|Jeroen Krabbé|Isabella Rossellini
14819,Steven Brill,Ben Stiller|Aaron Schwartz|Kenan Thompson
32631,J. F. Lawton,Christopher Lambert|John Lone|Joan Chen
11777,Fred Schepisi,Tim Robbins|Meg Ryan|Walter Matthau
628,Neil Jordan,Brad Pitt|Tom Cruise|Kirsten Dunst
87729,James Ivory,Nick Nolte|Greta Scacchi|Thandie Newton
18713,James Melkonian,John G. Brennan|Kamal Ahmed|Alan Arkin
6280,Ivan Reitman,Arnold Schwarzenegger|Danny DeVito|Emma Thompson
9061,Arne Glimcher,Sean Connery|Laurence Fishburne|Blair Underwood
37108,Michael Gottlieb,Thomas Ian Nicholas|Joss Ackland|Art Malik
6071,Barbet Schroeder,David Caruso|Samuel L. Jackson|Nicolas Cage
11,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher
9587,Gillian Armstrong,Winona Ryder|Gabriel Byrne|Trini Alvarado
19101,Alfonso Cuarón,Liesel Matthews|Eleanor Bron|Liam Cunningham
49980,Ken Loach,Crissy Rock|Vladimir Vega|Sandie Lavelle
17961,Claude Chabrol,Emmanuelle Béart|François Cluzet|Nathalie Cardone
18183,Alfonso Aráu,Marco Leonardi|Lumi Cavazos|Regina Torné
4476,Edward Zwick,Brad Pitt|Anthony Hopkins|Aidan Quinn
11008,Nick Castle,Damon Wayans|Orlando Brown|Michael Ironside
47504,James Gray,Edward Furlong|Tim Roth|Moira Kelly
32325,Allison Anders,Angel Aviles|Seidy López|Jacob Vargas
43742,Glenn Gordon Caron,Warren Beatty|Annette Bening|Katharine Hepburn
28313,Stephen Gyllenhaal,Jessica Lange|Halle Berry|David Strathairn
11318,Nicholas Hytner,Nigel Hawthorne|Helen Mirren|Ian Holm
3036,Kenneth Branagh,Robert De Niro|Kenneth Branagh|Tom Hulce
40490,James Orr,Farrah Fawcett|Chevy Chase|Jonathan Taylor Thomas
24070,Nora Ephron,Steve Martin|Madeline Kahn|Robert Klein
8986,Richard Benjamin,Melanie Griffith|Ed Harris|Michael Patrick Carter
10510,Les Mayfield,Richard Attenborough|Elizabeth Perkins|Dylan McDermott
17402,David Frankel,Sarah Jessica Parker|Antonio Banderas|Mia Farrow
38722,Gregory Nava,Edward James Olmos|Jimmy Smits|Esai Morales
8438,Marc Rocco,Christian Slater|Kevin Bacon|Gary Oldman
11593,Robert Benton,Paul Newman|Bruce Willis|Melanie Griffith
1945,Michael Apted,Jodie Foster|Liam Neeson|Natasha Richardson
39310,Nick Gomez,Sharron Corley|Donald Faison|Christine Baranski
56428,Vadim Jean,Elizabeth Hurley|Craig Fairbrass|Keith Allen
131957,Alan Jacobs,Laura San Giacomo|Michael O'Keefe|Paul Rhys
241,Oliver Stone,Woody Harrelson|Juliette Lewis|Robert Downey Jr.
9058,Norman Jewison,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt
527,Lee Tamahori,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell
18220,Anne Goursaud,Alyssa Milano|Johnathon Schaech|Xander Berkeley
6950,Wolfgang Petersen,Dustin Hoffman|Rene Russo|Morgan Freeman
101,Luc Besson,Jean Reno|Natalie Portman|Gary Oldman
63020,Mira Nair,Marisa Tomei|Alfred Molina|Anjelica Huston
2307,Joshua Brand,William Baldwin|John Leguizamo|Эрика Элениак
680,Quentin Tarantino,John Travolta|Samuel L. Jackson|Uma Thurman
40156,Antonia Bird,Linus Roache|Tom Wilkinson|Robert Carlyle
11450,Robert Redford,John Turturro|Rob Morrow|Ralph Fiennes
30304,Kayo Hatta,Youki Kudoh|Akira Takayama|Tamlyn Tomita
10452,Patrice Chéreau,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade
12106,Sam Raimi,Sharon Stone|Gene Hackman|Russell Crowe
161495,Peter Yates,Peter Falk|D. B. Sweeney|Julianne Moore
3586,Robert Altman,Marcello Mastroianni|Sophia Loren|Jean-Pierre Cassel
110,Krzysztof Kieślowski,Irène Jacob|Jean-Louis Trintignant|Jean-Pierre Lorit
108,Krzysztof Kieślowski,Juliette Binoche|Benoît Régent|Florence Pernel
109,Krzysztof Kieślowski,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos
159185,He Ping,Ning Jing|Wu Gang
28033,Harold Ramis,Al Franken|Laura San Giacomo|Vincent D'Onofrio
22586,Richard Rich,Michelle Nicastro|Jack Palance|Howard McGillin
14334,John Sayles,Jeni Courtney|Eileen Colgan|Mick Lally
2636,Luis Llosa,Sylvester Stallone|Sharon Stone|James Woods
2164,Roland Emmerich,Kurt Russell|James Spader|Jaye Davidson
11395,John Pasquin,Tim Allen|Judge Reinhold|Wendy Crewson
278,Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton
9905,Danny Boyle,Kerry Fox|Christopher Eccleston|Ewan McGregor
87078,Scott McGehee,Dennis Haysbert|Michael Harris|Mel Harris
12527,Tomás Gutiérrez Alea,Jorge Perugorría|Vladimir Cruz|Mirta Ibarra
20306,George Huang,Kevin Spacey|Frank Whaley|Michelle Forbes
36614,Kevin Dowling,Jack Thompson|John Polson|Deborah Kennedy
27993,Kelly Makin,Matt Frewer|Valerie Mahaffey|Lawrence Dane
31439,Zhang Yimou,Ge You|Gong Li|Niu Ben
9067,Rachel Talalay,Lori Petty|Ice-T|Naomi Watts
9059,Ernest R. Dickerson,Billy Zane|William Sadler|Jada Pinkett Smith
193,David Carson,Patrick Stewart|Jonathan Frakes|Brent Spiner
25066,Rusty Cundieff,Clarence Williams III|Corbin Bernsen|David Alan Grier
46797,Brian Gilbert,Willem Dafoe|Miranda Richardson|Rosemary Harris
12122,John Carpenter,Christopher Reeve|Kirstie Alley|Linda Kozlowski
11381,Peter Segal,Chris Farley|David Spade|Brian Dennehy
32636,Louis Malle,Wallace Shawn|Julianne Moore|Larry Pine
36141,Steven Soderbergh,Peter Gallagher|Alison Elliott|William Fichtner
95963,Preston A. Whitmore II,Allen Payne|Eddie Griffin|Joe Morton
1587,Lasse Hallström,Johnny Depp|Leonardo DiCaprio|Juliette Lewis
9271,Brett Leonard,Denzel Washington|Russell Crowe|Kelly Lynch
2064,Jon Turteltaub,Sandra Bullock|Bill Pullman|Peter Gallagher
19855,Jon Avnet,Elijah Wood|Kevin Costner|Mare Winningham
60855,Mina Shum,Sandra Oh|Stephen Chang|Alannah Ong
236,P.J. Hogan,Toni Collette|Bill Hunter|Rachel Griffiths
48287,Melanie Mayron,Schuyler Fisk|Bre Blair|Rachael Leigh Cook
3049,Tom Shadyac,Jim Carrey|Sean Young|Courteney Cox
2759,Stephan Elliott,Terence Stamp|Hugo Weaving|Guy Pearce
12635,Iain Softley,Stephen Dorff|Ian Hart|Sheryl Lee
10497,Roman Polanski,Hugh Grant|Kristin Scott Thomas|Emmanuelle Seigner
11382,Woody Allen,John Cusack|Dianne Wiest|Jennifer Tilly
9331,Phillip Noyce,Harrison Ford|Willem Dafoe|Anne Archer
10731,Joel Schumacher,Susan Sarandon|Tommy Lee Jones|Mary-Louise Parker
10464,Jessie Nelson,Whoopi Goldberg|Ray Liotta|Tina Majorino
34152,Spike Lee,Alfre Woodard|Delroy Lindo|David Patrick Kelly
9495,Alex Proyas,Brandon Lee|Rochelle Davis|Ernie Hudson
29973,Ron Shelton,Tommy Lee Jones|Robert Wuhl|Lolita Davidovich
888,Brian Levant,John Goodman|Elizabeth Perkins|Rick Moranis
13,Robert Zemeckis,Tom Hanks|Robin Wright|Gary Sinise
712,Mike Newell,Hugh Grant|Andie MacDowell|James Fleet
16295,John Singleton,Omar Epps|Kristy Swanson|Michael Rapaport
10879,Charles Shyer,Nick Nolte|Saul Rubinek|James Rebhorn
10660,Andrew Bergman,Nicolas Cage|Bridget Fonda|Rosie Perez
10714,Stephen Sommers,Jason Scott Lee|Cary Elwes|Lena Headey
41647,Ray Müller,Leni Riefenstahl|Marlene Dietrich|Walter Frentz
8587,Roger Allers,Jonathan Taylor Thomas|Matthew Broderick|James Earl Jones
1689,Bernardo Bertolucci,Keanu Reeves|Bridget Fonda|Chris Isaak
11596,Wes Craven,Heather Langenkamp|Robert Englund|Miko Hughes
854,Chuck Russell,Jim Carrey|Cameron Diaz|Nancy Fish
9359,Richard Donner,Mel Gibson|Jodie Foster|James Garner
23333,Alan Rudolph,Jennifer Jason Leigh|Campbell Scott|Matthew Broderick
36593,Peter Segal,Leslie Nielsen|Priscilla Presley|George Kennedy
12280,Ron Howard,Michael Keaton|Robert Duvall|Glenn Close
2788,Ben Stiller,Winona Ryder|Ben Stiller|Janeane Garofalo
10427,John Dahl,Nicolas Cage|Dennis Hopper|Lara Flynn Boyle
11011,Donald Petrie,Macaulay Culkin|John Larroquette|Edward Herrmann
49803,Robert Allan Ackerman,Susan Sarandon|Nick Stahl|Sam Shepard
8987,Curtis Hanson,Meryl Streep|David Strathairn|Kevin Bacon
1637,Jan de Bont,Keanu Reeves|Dennis Hopper|Sandra Bullock
15128,Ron Underwood,Michael Keaton|Geena Davis|Christopher Reeve
8831,Peter Hyams,Jean-Claude Van Damme|Mia Sara|Ron Silver
36955,James Cameron,Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold
10449,Luis Mandoki,Andy García|Meg Ryan|Ellen Burstyn
10395,Mike Nichols,Jack Nicholson|Christopher Plummer|James Spader
12160,Lawrence Kasdan,Kevin Costner|Dennis Quaid|Gene Hackman
40480,Damian Harris,Laurence Fishburne|Ellen Barkin|Frank Langella
26352,Keenen Ivory Wayans,Keenen Ivory Wayans|Charles S. Dutton|Jada Pinkett Smith
39953,Robert Lee King,James Andrews|Mary Beth Aylesworth|Mike Barbour
41580,Yves Angelo,Gérard Depardieu|Fanny Ardant|Fabrice Luchini
315,Russ Meyer,Tura Satana|Haji|Lori Williams
22067,Doug McHenry,Allen Payne|Jada Pinkett Smith|Bokeem Woodbine
18242,Dave Borthwick,Nick Upton|Deborah Collard|Frank Passingham
11667,Steven E. de Souza,Jean-Claude Van Damme|Raúl Juliá|Ming-Na Wen
226229,Paul Williams,Edward James Olmos|Sean Young|James Andronica
8011,Andrew Morahan,Christopher Lambert|Mario Van Peebles|Deborah Kara Unger
2654,John Carpenter,Sam Neill|Julie Carmen|Jürgen Prochnow
18069,John G. Avildsen,Luke Perry|Stephen Baldwin|Cynthia Geary
19092,Jeff Pollack,Duane Martin|Tupac Amaru Shakur|Bernie Mac
2758,Barry Sonnenfeld,Raúl Juliá|Anjelica Huston|Christopher Lloyd
10436,Martin Scorsese,Daniel Day-Lewis|Michelle Pfeiffer|Winona Ryder
13595,Michael Lehmann,Brendan Fraser|Steve Buscemi|Adam Sandler
46094,Paul Michael Glaser,Kevin Bacon|Charles Gitonga Maina|Yolanda Vazquez
9409,John Badham,Richard Dreyfuss|Emilio Estevez|Rosie O'Donnell
11853,Jonathan Kaplan,Madeleine Stowe|Mary Stuart Masterson|Andie MacDowell
16771,Whit Stillman,Taylor Nichols|Chris Eigeman|Mira Sorvino
46924,Bill Forsyth,Robin Williams|Maudie Johnson|Max Johnson
11041,Penelope Spheeris,Jim Varney|Diedrich Bader|Эрика Элениак
306,John Landis,Eddie Murphy|Judge Reinhold|Héctor Elizondo
14522,Caroline Thompson,Alan Cumming|Sean Bean|David Thewlis
26203,Michael Apted,Madeleine Stowe|Aidan Quinn|James Remar
