movieId,tmdbId,imdb_id,title,original_title,original_language,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,genres,production_companies,production_countries,adult,status,genres_list,primary_genre,release_year
12,12110,tt0112896,Dracula: Dead and Loving It,Dracula: Dead and Loving It,en,1995-12-22,88.0,0,0.0,5.430331,5.7,210.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Enigma Pictures', 'id': 6368}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Horror,Comedy,1995
13,21032,tt0112453,Balto,Balto,en,1995-12-22,78.0,0,11348324.0,12.140733,7.1,423.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Family|Animation|Adventure,Family,1995
14,10858,tt0113987,Nixon,Nixon,en,1995-12-22,192.0,44000000,13681765.0,5.092,7.1,72.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,History|Drama,History,1995
15,1408,tt0112760,Cutthroat Island,Cutthroat Island,en,1995-12-22,119.0,98000000,10017322.0,7.284477,5.7,137.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Action|Adventure,Action,1995
16,524,tt0112641,Casino,Casino,en,1995-11-22,178.0,52000000,116112375.0,10.137389,7.8,1343.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Crime,Drama,1995
17,4584,tt0114388,Sense and Sensibility,Sense and Sensibility,en,1995-12-13,136.0,16500000,135000000.0,10.673167,7.2,364.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Romance,Drama,1995
18,5,tt0113101,Four Rooms,Four Rooms,en,1995-12-09,98.0,4000000,4300000.0,9.026586,6.5,539.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]","[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Crime|Comedy,Crime,1995
19,9273,tt0112281,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,en,1995-11-10,90.0,30000000,212385533.0,8.205448,6.1,1128.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]","[{'name': 'O Entertainment', 'id': 5682}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Crime|Comedy|Adventure,Crime,1995
20,11517,tt0113845,Money Train,Money Train,en,1995-11-21,103.0,60000000,35431113.0,7.337906,5.4,224.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Action|Comedy|Crime,Action,1995
21,8012,tt0113161,Get Shorty,Get Shorty,en,1995-10-20,105.0,30250000,115101622.0,12.669608,6.4,305.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'name': 'Jersey Films', 'id': 216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Thriller|Crime,Comedy,1995
22,1710,tt0112722,Copycat,Copycat,en,1995-10-27,124.0,0,0.0,10.701801,6.5,199.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'New Regency Pictures', 'id': 10104}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Thriller,Drama,1995
23,9691,tt0112401,Assassins,Assassins,en,1995-10-06,132.0,50000000,30303072.0,11.065939,6.0,394.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Canal+', 'id': 5358}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Donner/Shuler-Donner Productions', 'id': 23397}, {'name': 'Evansgideon/Lazar', 'id': 25061}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Action|Adventure|Crime|Thriller,Action,1995
24,12665,tt0114168,Powder,Powder,en,1995-10-27,111.0,0,0.0,12.133094,6.3,143.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Fantasy|Science Fiction|Thriller,Drama,1995
25,451,tt0113627,Leaving Las Vegas,Leaving Las Vegas,en,1995-10-27,112.0,3600000,49800000.0,10.332025,7.1,365.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'United Artists', 'id': 60}, {'name': 'Intial Productions', 'id': 15547}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Romance,Drama,1995
26,16420,tt0114057,Othello,Othello,en,1995-12-15,123.0,0,0.0,1.845899,7.0,33.0,"[{'id': 18, 'name': 'Drama'}]","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",False,Released,Drama,Drama,1995
27,9263,tt0114011,Now and Then,Now and Then,en,1995-10-20,100.0,12000000,27400000.0,8.681325,6.6,91.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Drama|Family,Comedy,1995
28,17015,tt0114117,Persuasion,Persuasion,en,1995-09-27,104.0,0,0.0,2.228434,7.4,36.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'BBC Films', 'id': 288}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}]",False,Released,Drama|Romance,Drama,1995
29,902,tt0112682,The City of Lost Children,La Cité des Enfants Perdus,fr,1995-05-16,108.0,18000000,1738611.0,9.822423,7.6,308.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]","[{'name': 'Procirep', 'id': 311}, {'name': 'Constellation Productions', 'id': 590}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Claudie Ossard Productions', 'id': 592}, {'name': 'Eurimages', 'id': 850}, {'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Cofimage 5', 'id': 1871}, {'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': ""Club d'Investissement Média"", 'id': 8170}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Elías Querejeta Producciones Cinematográficas S.L.', 'id': 12009}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Victoires Productions', 'id': 25020}, {'name': 'Constellation', 'id': 25021}, {'name': 'Lumière Pictures', 'id': 25129}, {'name': 'Canal+', 'id': 47532}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofimage 4', 'id': 79437}, {'name': 'Ossane', 'id': 79438}, {'name': 'Phoenix Images', 'id': 79439}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",False,Released,Fantasy|Science Fiction|Adventure,Fantasy,1995
30,37557,tt0115012,Shanghai Triad,摇啊摇，摇到外婆桥,zh,1995-04-30,108.0,0,0.0,1.100915,6.5,17.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'name': 'Ministère des Affaires Étrangères', 'id': 2588}, {'name': 'Alpha Films', 'id': 4507}, {'name': 'La Sept Cinéma', 'id': 23647}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}]",False,Released,Drama|Crime,Drama,1995
31,9909,tt0112792,Dangerous Minds,Dangerous Minds,en,1995-08-11,99.0,0,180000000.0,9.481338,6.4,249.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Via Rosa Productions', 'id': 10103}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Crime,Drama,1995
32,63,tt0114746,Twelve Monkeys,Twelve Monkeys,en,1995-12-29,129.0,29500000,168840000.0,12.297305,7.4,2470.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Science Fiction|Thriller|Mystery,Science Fiction,1995
34,9598,tt0112431,Babe,Babe,en,1995-07-18,89.0,30000000,254134910.0,14.404764,6.0,756.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Kennedy Miller Productions', 'id': 2537}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Fantasy|Drama|Comedy|Family,Fantasy,1995
35,47018,tt0112637,Carrington,Carrington,en,1995-11-08,121.0,0,0.0,1.493361,6.4,16.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'StudioCanal', 'id': 694}, {'name': 'Cinéa', 'id': 874}, {'name': 'Euston Films', 'id': 8363}, {'name': 'Freeway Films', 'id': 19316}, {'name': 'European Co-production Fund', 'id': 30226}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}, {'name': 'Orsans Productions', 'id': 44821}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",False,Released,History|Drama|Romance,History,1995
36,687,tt0112818,Dead Man Walking,Dead Man Walking,en,1995-12-29,122.0,11000000,39363635.0,6.891317,7.3,350.0,"[{'id': 18, 'name': 'Drama'}]","[{'name': 'Havoc', 'id': 406}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",False,Released,Drama,Drama,1995
37,139405,tt0112286,Across the Sea of Time,Across the Sea of Time,en,1995-10-20,51.0,0,0.0,0.114469,3.5,2.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","[{'name': 'Sony New Technologies', 'id': 53390}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Adventure|History|Drama|Family,Adventure,1995
38,33689,tt0113442,It Takes Two,It Takes Two,en,1995-11-17,101.0,0,0.0,7.777735,6.1,149.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Dualstar Productions', 'id': 6130}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Rysher Entertainment', 'id': 11661}, {'name': 'Orr & Cruickshank', 'id': 89131}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Family|Romance,Comedy,1995
39,9603,tt0112697,Clueless,Clueless,en,1995-07-19,97.0,12000000,0.0,9.882383,6.9,828.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Drama|Romance,Comedy,1995
40,34615,tt0112749,"Cry, the Beloved Country","Cry, the Beloved Country",en,1995-12-15,106.0,0,676525.0,0.894647,6.7,13.0,"[{'id': 18, 'name': 'Drama'}]","[{'name': 'Miramax', 'id': 53009}, {'name': 'Distant Horizon', 'id': 85681}, {'name': 'Alpine Pty Limited', 'id': 89840}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",False,Released,Drama,Drama,1995
41,31174,tt0114279,Richard III,Richard III,en,1995-12-29,104.0,0,0.0,4.561387,6.9,50.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","[{'name': 'British Screen', 'id': 871}, {'name': 'Mayfair Entertainment International', 'id': 34237}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|War,Drama,1995
42,11443,tt0112819,Dead Presidents,Dead Presidents,en,1995-10-06,119.0,10000000,0.0,9.87957,6.6,80.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Underworld Entertainment', 'id': 476}, {'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Action|Crime|Drama|History,Action,1995
43,35196,tt0114272,Restoration,Restoration,en,1995-12-29,117.0,19000000,0.0,10.979269,6.3,30.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Miramax Films', 'id': 14}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Romance,Drama,1995
44,9312,tt0113855,Mortal Kombat,Mortal Kombat,en,1995-08-18,101.0,18000000,122195920.0,10.870138,5.4,452.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Action|Fantasy,Action,1995
45,577,tt0114681,To Die For,To Die For,en,1995-05-20,106.0,20000000,21284514.0,10.448481,6.7,177.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Fantasy|Drama|Comedy|Thriller,Fantasy,1995
46,11861,tt0113347,How To Make An American Quilt,How To Make An American Quilt,en,1995-10-06,116.0,10000000,23574130.0,4.485958,6.5,38.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Romance,Drama,1995
47,807,tt0114369,Se7en,Se7en,en,1995-09-22,127.0,33000000,327311859.0,18.45743,8.1,5915.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Crime|Mystery|Thriller,Crime,1995
48,10530,tt0114148,Pocahontas,Pocahontas,en,1995-06-14,81.0,55000000,346079773.0,13.280069,6.7,1509.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Adventure|Animation|Drama|Family,Adventure,1995
49,8391,tt0114916,When Night Is Falling,When Night Is Falling,en,1995-05-05,96.0,0,0.0,3.302524,5.9,10.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Alliance Communications Corporation', 'id': 2480}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",False,Released,Drama|Romance,Drama,1995
50,629,tt0114814,The Usual Suspects,The Usual Suspects,en,1995-07-19,106.0,6000000,23341568.0,16.302466,8.1,3334.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'name': 'Blue Parrot Productions', 'id': 361}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama|Crime|Thriller,Drama,1995
52,11448,tt0113819,Mighty Aphrodite,Mighty Aphrodite,en,1995-09-13,95.0,15000000,6700000.0,15.899134,6.7,145.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Miramax Films', 'id': 14}, {'name': 'Magnolia Pictures', 'id': 1030}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Romance,Comedy,1995
53,49133,tt0110299,Lamerica,Lamerica,it,1994-01-01,116.0,0,0.0,1.361286,7.7,11.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]",False,Released,Drama|Foreign,Drama,1994
54,26441,tt0112499,The Big Green,The Big Green,en,1995-09-29,100.0,0,0.0,5.982764,5.2,41.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Caravan Pictures', 'id': 175}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Action|Adventure|Comedy|Family,Action,1995
55,97406,tt0113158,Georgia,Georgia,en,1995-05-19,115.0,0,0.0,4.093443,6.1,15.0,"[{'id': 18, 'name': 'Drama'}]","[{'name': 'Miramax Films', 'id': 14}, {'name': 'CiBy 2000', 'id': 7832}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Drama,Drama,1995
57,9089,tt0113321,Home for the Holidays,Home for the Holidays,en,1995-11-02,103.0,0,17519169.0,8.416802,6.3,39.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Egg Pictures', 'id': 802}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",False,Released,Comedy|Drama|Romance,Comedy,1995
58,11010,tt0110877,The Postman,Il postino,it,1994-09-22,108.0,0,0.0,10.168437,7.6,181.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",[],"[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",False,Released,Comedy|Drama|Romance,Comedy,1994
59,99040,tt0112714,The Confessional,Le confessionnal,fr,1995-09-29,100.0,0,0.0,0.120789,6.5,2.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",False,Released,Thriller|Drama|Mystery,Thriller,1995
